1	a64l	a64l, l64a — convert between a 32-bit integer and a radix-64 ASCII string
2	abort	abort — generate an abnormal process abort
3	abs	abs — return an integer absolute value
4	accept	accept, accept4 — accept a new connection on a socket
5	access	access, faccessat — determine accessibility of a file descriptor
6	acos	acos, acosf, acosl — arc cosine functions
7	acosh	acosh, acoshf, acoshl — inverse hyperbolic cosine functions
8	aio_cancel	aio_cancel — cancel an asynchronous I/O request
9	aio_error	aio_error — retrieve errors status for an asynchronous I/O operation
10	aio_fsync	aio_fsync — asynchronous file synchronization
11	aio_read	aio_read — asynchronous read from a file
12	aio_return	aio_return — retrieve return status of an asynchronous I/O operation
13	aio_suspend	aio_suspend — wait for an asynchronous I/O request
14	aio_write	aio_write — asynchronous write to a file
15	alarm	alarm — schedule an alarm signal
16	aligned_alloc	aligned_alloc — allocate memory with a specified alignment
17	alphasort	alphasort, scandir — scan a directory
18	asctime	asctime — convert date and time to a string
19	asin	asin, asinf, asinl — arc sine function
20	asinh	asinh, asinhf, asinhl — inverse hyperbolic sine functions
21	assert	assert — insert program diagnostics
22	at_quick_exit	at_quick_exit — register a function to to be called from quick_exit()
23	atan	atan, atanf, atanl — arc tangent function
24	atan2	atan2, atan2f, atan2l — arc tangent functions
25	atanh	atanh, atanhf, atanhl — inverse hyperbolic tangent functions
26	atexit	atexit — register a function to be called from .I exit () or after return from .I main ()
27	atof	atof — convert a string to a double-precision number
28	atoi	atoi — convert a string to an integer
29	atol	atol, atoll — convert a string to a long integer
30	atomic_compare_exchange_strong	atomic_compare_exchange_strong, atomic_compare_exchange_strong_explicit, atomic_compare_exchange_weak, atomic_compare_exchange_weak_explicit — atomically compare and exchange the values of two objects
31	atomic_exchange	atomic_exchange, atomic_exchange_explicit — atomically exchange the value of an object
32	atomic_fetch_add	atomic_fetch_add, atomic_fetch_add_explicit, atomic_fetch_and, atomic_fetch_and_explicit, atomic_fetch_or, atomic_fetch_or_explicit, atomic_fetch_sub, atomic_fetch_sub_explicit, atomic_fetch_xor, atomic_fetch_xor_explicit — atomically replace the value of an object with the result of a computation
33	atomic_flag_clear	atomic_flag_clear, atomic_flag_clear_explicit — clear an atomic flag
34	atomic_flag_test_and_set	atomic_flag_test_and_set, atomic_flag_test_and_set_explicit — test and set an atomic flag
35	atomic_init	atomic_init — initialize an atomic object
36	atomic_is_lock_free	atomic_is_lock_free — indicate whether or not atomic operations are lock-free
37	atomic_load	atomic_load, atomic_load_explicit — atomically obtain the value of an object
38	atomic_signal_fence	atomic_signal_fence, atomic_thread_fence — fence operations
39	atomic_store	atomic_store, atomic_store_explicit — atomically store a value in an object
40	basename	basename — return the last component of a pathname
41	be16toh	be16toh, be32toh, be64toh, htobe16, htobe32, htobe64, htole16, htole32, htole64, le16toh, le32toh, le64toh — convert values between host and specified byte order
42	bind	bind — bind a name to a socket
43	bindtextdomain	bindtextdomain, bind_textdomain_codeset, textdomain — text domain manipulation functions
44	bsearch	bsearch — binary search a sorted table
45	btowc	btowc — single byte to wide character conversion
46	c16rtomb	c16rtomb, c32rtomb — convert a Unicode character code to a character (restartable)
47	cabs	cabs, cabsf, cabsl — return a complex absolute value
48	cacos	cacos, cacosf, cacosl — complex arc cosine functions
49	cacosh	cacosh, cacoshf, cacoshl — complex arc hyperbolic cosine functions
50	call_once	call_once — dynamic package initialization
51	calloc	calloc — a memory allocator
52	carg	carg, cargf, cargl — complex argument functions
53	casin	casin, casinf, casinl — complex arc sine functions
54	casinh	casinh, casinhf, casinhl — complex arc hyperbolic sine functions
55	catan	catan, catanf, catanl — complex arc tangent functions
56	catanh	catanh, catanhf, catanhl — complex arc hyperbolic tangent functions
57	catclose	catclose — close a message catalog descriptor
58	catgets	catgets — read a program message
59	catopen	catopen — open a message catalog
60	cbrt	cbrt, cbrtf, cbrtl — cube root functions
61	ccos	ccos, ccosf, ccosl — complex cosine functions
62	ccosh	ccosh, ccoshf, ccoshl — complex hyperbolic cosine functions
63	ceil	ceil, ceilf, ceill — ceiling value function
64	cexp	cexp, cexpf, cexpl — complex exponential functions
65	cfgetispeed	cfgetispeed — get input baud rate
66	cfgetospeed	cfgetospeed — get output baud rate
67	cfsetispeed	cfsetispeed — set input baud rate
68	cfsetospeed	cfsetospeed — set output baud rate
69	chdir	chdir — change working directory
70	chmod	chmod, fchmodat — change mode of a file
71	chown	chown, fchownat — change owner and group of a file
72	cimag	cimag, cimagf, cimagl — complex imaginary functions
73	clearerr	clearerr — clear indicators on a stream
74	clock	clock — report CPU time used
75	clock_getcpuclockid	clock_getcpuclockid — access a process CPU-time clock (ADVANCED REALTIME)
76	clock_getres	clock_getres, clock_gettime, clock_settime — clock and timer functions
77	clock_nanosleep	clock_nanosleep — high resolution sleep with specifiable clock
78	clog	clog, clogf, clogl — complex natural logarithm functions
79	close	close, posix_close — close a file descriptor
80	closedir	closedir — close a directory stream
81	closelog	closelog, openlog, setlogmask, syslog — control system log
82	cnd_broadcast	cnd_broadcast, cnd_signal — broadcast or signal a condition
83	cnd_destroy	cnd_destroy, cnd_init — destroy and initialize condition variables
84	cnd_timedwait	cnd_timedwait, cnd_wait — wait on a condition
85	confstr	confstr — get configurable variables
86	conj	conj, conjf, conjl — complex conjugate functions
87	connect	connect — connect a socket
88	contents	
89	copysign	copysign, copysignf, copysignl — number manipulation function
90	cos	cos, cosf, cosl — cosine function
91	cosh	cosh, coshf, coshl — hyperbolic cosine functions
92	cpow	cpow, cpowf, cpowl — complex power functions
93	cproj	cproj, cprojf, cprojl — complex projection functions
94	creal	creal, crealf, creall — complex real functions
95	creat	creat — create a new file or rewrite an existing one
96	crypt	crypt — password hashing function (CRYPT)
97	csin	csin, csinf, csinl — complex sine functions
98	csinh	csinh, csinhf, csinhl — complex hyperbolic sine functions
99	csqrt	csqrt, csqrtf, csqrtl — complex square root functions
100	ctan	ctan, ctanf, ctanl — complex tangent functions
101	ctanh	ctanh, ctanhf, ctanhl — complex hyperbolic tangent functions
102	ctermid	ctermid — generate a pathname for the controlling terminal
103	ctime	ctime — convert a time value to a date and time string
104	dbm_clearerr	dbm_clearerr, dbm_close, dbm_delete, dbm_error, dbm_fetch, dbm_firstkey, dbm_nextkey, dbm_open, dbm_store — database functions
105	difftime	difftime — compute the difference between two calendar time values
106	dirfd	dirfd — extract the file descriptor used by a DIR stream
107	dirname	dirname — report the parent directory name of a file pathname
108	div	div — compute the quotient and remainder of an integer division
109	dladdr	dladdr — get information relating to an address
110	dlclose	dlclose — close a symbol table handle
111	dlerror	dlerror — get diagnostic information
112	dlopen	dlopen — open a symbol table handle
113	dlsym	dlsym — get the address of a symbol from a symbol table handle
114	drand48	drand48, erand48, jrand48, lcong48, lrand48, mrand48, nrand48, seed48, srand48 — generate uniformly distributed pseudo-random numbers
115	dup	dup, dup2, dup3 — duplicate an open file descriptor
116	duplocale	duplocale — duplicate a locale object
117	encrypt	encrypt — encoding function (CRYPT)
118	endgrent	endgrent, getgrent, setgrent — group database entry functions
119	endhostent	endhostent, gethostent, sethostent — network host database functions
120	endnetent	endnetent, getnetbyaddr, getnetbyname, getnetent, setnetent — network database functions
121	endprotoent	endprotoent, getprotobyname, getprotobynumber, getprotoent, setprotoent — network protocol database functions
122	endpwent	endpwent, getpwent, setpwent — user database functions
123	endservent	endservent, getservbyname, getservbyport, getservent, setservent — network services database functions
124	endutxent	endutxent, getutxent, getutxid, getutxline, pututxline, setutxent — user accounting database functions
125	erf	erf, erff, erfl — error functions
126	erfc	erfc, erfcf, erfcl — complementary error functions
127	errno	errno — error return value
128	exec	environ, execl, execle, execlp, execv, execve, execvp, fexecve — execute a file
129	exit	exit — terminate a process
130	exp	exp, expf, expl — exponential function
131	exp2	exp2, exp2f, exp2l — exponential base 2 functions
132	expm1	expm1, expm1f, expm1l — compute exponential functions
133	fabs	fabs, fabsf, fabsl — absolute value function
134	fchdir	fchdir — change working directory
135	fchmod	fchmod — change mode of a file
136	fchown	fchown — change owner and group of a file
137	fclose	fclose — close a stream
138	fcntl	fcntl — file control
139	fdatasync	fdatasync — synchronize the data of a file (REALTIME)
140	fdim	fdim, fdimf, fdiml — compute positive difference between two floating-point numbers
141	fdopen	fdopen — associate a stream with a file descriptor
142	fdopendir	fdopendir, opendir — open directory associated with file descriptor
143	feclearexcept	feclearexcept — clear floating-point exception
144	fegetenv	fegetenv, fesetenv — get and set current floating-point environment
145	fegetexceptflag	fegetexceptflag, fesetexceptflag — get and set floating-point status flags
146	fegetround	fegetround, fesetround — get and set current rounding direction
147	feholdexcept	feholdexcept — save current floating-point environment
148	feof	feof — test end-of-file indicator on a stream
149	feraiseexcept	feraiseexcept — raise floating-point exception
150	ferror	ferror — test error indicator on a stream
151	fetestexcept	fetestexcept — test floating-point exception flags
152	feupdateenv	feupdateenv — update floating-point environment
153	fflush	fflush — flush a stream
154	ffs	ffs, ffsl, ffsll — find first set bit
155	fgetc	fgetc — get a byte from a stream
156	fgetpos	fgetpos — get current file position information
157	fgets	fgets — get a string from a stream
158	fgetwc	fgetwc — get a wide-character code from a stream
159	fgetws	fgetws — get a wide-character string from a stream
160	fileno	fileno — map a stream pointer to a file descriptor
161	flockfile	flockfile, ftrylockfile, funlockfile — stdio locking functions
162	floor	floor, floorf, floorl — floor function
163	fma	fma, fmaf, fmal — floating-point multiply-add
164	fmax	fmax, fmaxf, fmaxl — determine maximum numeric value of two floating-point numbers
165	fmemopen	fmemopen — open a memory buffer stream
166	fmin	fmin, fminf, fminl — determine minimum numeric value of two floating-point numbers
167	fmod	fmod, fmodf, fmodl — floating-point remainder value function
168	fmtmsg	fmtmsg — display a message in the specified format on standard error and/or a system console
169	fnmatch	fnmatch — match a filename string or a pathname
170	fopen	fopen — open a stream
171	fork	fork — create a new process
172	fpathconf	fpathconf, pathconf — get configurable pathname variables
173	fpclassify	fpclassify — classify real floating type
